DateTime_m,Drive-sensor,InletTemp-sensor,Mode-sensor,SetTemp-sensor,temp,rhum,prcp,wspd,wpgt,pres
1636318800.0,1.0,21.3,2.0,19.0,9.9,75.0,0.0,7.6,11.0,1023.5
1636333200.0,1.0,21.1,2.0,19.0,7.4,88.0,0.0,5.4,11.1,1024.0
1636347600.0,1.0,21.0,2.0,19.0,6.1,93.0,0.0,3.6,9.3,1024.1
1636358460.0,1.0,21.0,2.0,19.0,6.8,90.0,0.0,3.6,9.3,1025.1
1636360560.0,1.0,21.0,2.0,19.0,6.8,90.0,0.0,3.6,9.3,1025.1
1636362000.0,1.0,21.0,2.0,19.0,8.2,84.0,0.0,5.4,8.0,1025.4
1636376400.0,1.0,21.0,2.0,19.0,12.6,57.0,0.0,5.4,20.4,1024.3
1636390800.0,1.0,21.1,2.0,19.0,10.0,67.0,0.0,7.6,14.8,1025.1
1636405200.0,1.0,21.1,2.0,19.0,7.8,84.0,0.0,3.6,5.0,1026.4
1636419600.0,1.0,21.1,2.0,19.0,6.1,93.0,0.0,3.6,5.5,1025.9
1636434000.0,1.0,21.0,2.0,19.0,4.6,95.0,0.0,5.4,3.7,1026.5
1636448400.0,1.0,21.0,2.0,19.0,5.2,95.0,0.0,3.6,5.0,1027.9
1636462800.0,1.0,20.9,2.0,19.0,12.3,55.0,0.0,5.4,11.1,1026.0
1636462860.0,1.0,20.9,2.0,18.0,12.3,55.0,0.0,5.4,11.1,1026.0
1636466460.0,1.0,20.9,2.0,19.0,11.6,54.0,0.0,5.4,11.1,1025.7
1636477200.0,1.0,21.0,2.0,19.0,9.1,69.0,0.0,7.6,13.0,1025.4
1636491600.0,1.0,21.0,2.0,19.0,7.0,78.0,0.0,3.6,9.0,1025.9
1636506000.0,1.0,21.2,2.0,19.0,4.5,91.0,0.0,3.6,7.4,1025.2
1636520400.0,1.0,20.9,2.0,19.0,2.7,94.0,0.0,5.4,18.5,1025.1
1636534800.0,1.0,20.7,2.0,19.0,4.7,94.0,0.0,1.8,15.0,1025.7
1636549200.0,1.0,22.1,2.0,19.0,9.7,70.0,0.0,9.4,13.0,1024.6
1636549260.0,1.0,22.1,2.0,20.0,9.7,70.0,0.0,9.4,13.0,1024.6
1636551060.0,1.0,22.1,2.0,18.0,9.7,70.0,0.0,9.4,13.0,1024.6
1636552860.0,1.0,22.1,2.0,19.0,9.4,71.0,0.0,7.6,11.1,1024.5
1636563600.0,1.0,21.0,2.0,19.0,6.2,85.0,0.0,5.4,9.3,1024.9
1636578000.0,1.0,20.9,2.0,19.0,3.6,95.0,0.0,1.8,5.0,1025.7
1636592400.0,1.0,21.0,2.0,19.0,2.0,97.0,0.0,5.4,3.7,1025.2
1636606800.0,1.0,20.9,2.0,19.0,0.6,97.0,0.0,1.8,7.4,1025.3
1636621200.0,1.0,20.7,2.0,19.0,2.6,99.0,0.0,0.0,9.0,1026.3
1636635600.0,1.0,20.9,2.0,19.0,9.1,75.0,0.0,7.6,7.4,1025.3
1636635660.0,1.0,20.9,2.0,18.0,9.1,75.0,0.0,7.6,7.4,1025.3
1636639260.0,1.0,20.9,2.0,19.0,8.7,77.0,0.0,5.4,9.3,1024.8
1636647000.0,1.0,20.9,2.0,26.0,7.9,78.0,0.0,7.6,11.1,1024.4
1636650000.0,1.0,23.7,2.0,32.0,6.5,85.0,0.0,5.4,11.1,1024.4
1636653060.0,1.0,23.7,2.0,25.0,6.5,85.0,0.0,5.4,11.1,1024.4
1636664400.0,1.0,23.7,2.0,25.0,4.0,94.0,0.0,5.4,9.0,1024.1
1636671660.0,1.0,23.7,2.0,21.0,3.3,96.0,0.0,3.6,7.4,1023.1
1636673460.0,1.0,23.7,2.0,20.0,3.3,96.0,0.0,3.6,7.4,1023.1
1636675260.0,1.0,23.7,2.0,19.0,3.5,97.0,0.0,5.4,9.0,1023.0
1636678800.0,1.0,21.6,2.0,19.0,3.3,97.0,0.0,5.4,7.4,1022.8
1636693200.0,1.0,21.0,2.0,19.0,2.5,97.0,0.0,7.6,11.1,1021.0
1636707600.0,1.0,21.2,2.0,19.0,3.2,98.0,0.0,3.6,13.0,1020.1
1636710360.0,1.0,20.9,2.0,19.0,3.2,98.0,0.0,3.6,13.0,1020.1
1636719360.0,1.0,20.5,2.0,19.0,6.8,88.0,0.0,5.4,21.0,1018.6
1636722000.0,1.0,20.7,2.0,19.0,9.2,79.0,0.0,11.2,11.1,1017.3
1636722060.0,1.0,20.7,2.0,18.0,9.2,79.0,0.0,11.2,11.1,1017.3
1636723020.0,1.0,21.0,2.0,23.0,9.2,79.0,0.0,11.2,11.1,1017.3
1636725060.0,1.0,21.8,2.0,18.0,9.2,79.0,0.0,11.2,11.1,1017.3
1636725660.0,1.0,21.8,2.0,19.0,11.1,75.0,0.0,9.4,13.0,1016.6
1636726920.0,1.0,21.8,2.0,23.0,11.1,75.0,0.0,9.4,13.0,1016.6
1636728240.0,1.0,21.8,2.0,28.0,11.1,75.0,0.0,9.4,13.0,1016.6
1636736400.0,1.0,22.9,2.0,28.0,10.6,76.0,0.0,11.2,11.1,1016.7
1636741920.0,1.0,23.7,2.0,22.0,10.5,78.0,0.0,14.800000000000002,22.0,1016.2000000000002
1636750800.0,1.0,22.4,2.0,20.0,10.7,88.0,0.0,11.2,30.0,1016.2
1636763760.0,1.0,22.4,2.0,19.0,10.8,91.0,0.0,7.6,26.0,1015.5
1636765200.0,1.0,22.1,2.0,19.0,11.1,89.0,0.0,14.8,22.2,1015.2
1636765260.0,1.0,21.9,2.0,20.0,11.1,89.0,0.0,14.8,22.2,1015.2
1636767060.0,1.0,21.9,2.0,19.0,11.1,89.0,0.0,14.8,22.2,1015.2
1636779600.0,1.0,21.9,2.0,19.0,10.9,93.0,0.0,11.2,22.2,1014.8
1636794000.0,1.0,22.4,2.0,19.0,11.4,93.0,0.1,9.4,22.0,1016.3
1636794060.0,1.0,22.4,2.0,20.0,11.4,93.0,0.1,9.4,22.0,1016.3
1636795860.0,1.0,22.4,2.0,19.0,11.4,93.0,0.1,9.4,22.0,1016.3
1636808400.0,1.0,21.4,2.0,19.0,12.9,79.0,0.0,9.4,29.6,1016.1
1636822800.0,1.0,21.4,2.0,19.0,11.3,88.0,0.1,5.4,20.4,1017.1
1636837200.0,1.0,21.4,2.0,19.0,11.0,87.0,0.0,7.6,17.0,1018.5
1636851600.0,1.0,21.4,2.0,19.0,10.6,89.0,0.0,9.4,16.7,1018.6
1636866000.0,1.0,21.6,2.0,19.0,10.4,90.0,0.0,11.2,18.5,1018.7
1636880400.0,1.0,21.8,2.0,19.0,10.7,91.0,0.0,11.2,24.0,1020.0
1636894800.0,0.0,21.4,2.0,19.0,12.2,82.0,0.0,11.2,25.9,1020.3
1636909200.0,0.0,21.4,2.0,19.0,11.5,81.0,0.0,14.8,24.1,1021.8
1636923600.0,0.0,21.4,2.0,19.0,9.7,87.0,0.0,13.0,24.0,1023.6
1636938000.0,0.0,21.0,2.0,19.0,7.3,93.0,0.0,13.0,20.4,1024.1
1636952400.0,0.0,21.0,2.0,19.0,6.3,93.0,0.0,11.2,22.2,1024.0
1636966800.0,0.0,21.0,2.0,19.0,6.9,92.0,0.0,11.2,31.0,1025.2
1636981200.0,0.0,20.9,2.0,19.0,7.7,90.0,0.0,14.8,22.2,1024.6
1636995600.0,0.0,21.0,2.0,19.0,7.3,89.0,0.0,13.0,18.5,1024.9
1637010000.0,0.0,20.8,2.0,19.0,7.1,86.0,0.0,13.0,22.0,1025.4
1637024400.0,0.0,20.8,2.0,19.0,6.9,84.0,0.0,9.4,16.7,1024.6
1637038800.0,0.0,20.8,2.0,19.0,6.6,85.0,0.0,7.6,14.8,1024.3
1637046960.0,0.0,20.8,2.0,19.0,6.7,85.0,0.0,9.4,14.8,1024.6
1637050860.0,0.0,20.8,2.0,19.0,6.7,87.0,0.1,5.4,14.8,1024.8
1637053200.0,0.0,20.8,2.0,19.0,7.0,80.0,0.0,5.4,15.0,1024.5
1637053260.0,0.0,20.8,2.0,19.0,7.0,80.0,0.0,5.4,15.0,1024.5
1637067600.0,0.0,20.8,2.0,19.0,8.2,78.0,0.0,9.4,11.1,1023.0
1637069160.0,0.0,20.8,2.0,19.0,8.2,78.0,0.0,9.4,11.1,1023.0
1637082000.0,0.0,21.0,2.0,19.0,8.1,85.0,0.0,5.4,5.5,1023.0
1637090400.0,1.0,21.3,2.0,20.5,8.0,88.0,0.0,3.6,5.5,1022.9
1637096400.0,0.0,21.1,2.0,20.0,8.0,92.0,0.1,7.6,13.0,1023.0
1637110800.0,0.0,21.3,2.0,20.0,8.7,92.0,0.0,5.4,9.3,1022.9
1637125200.0,0.0,21.5,2.0,20.0,8.9,93.0,0.0,7.6,7.4,1023.2
1637131560.0,0.0,21.5,2.0,20.0,9.2,94.0,0.3,5.4,18.0,1023.1
1637138760.0,0.0,21.2,2.0,20.0,9.7,93.0,0.0,5.4,9.3,1024.0
1637139600.0,0.0,21.4,2.0,20.0,10.0,93.0,0.0,5.4,15.0,1024.4
1637148360.0,0.0,21.2,2.0,20.0,11.1,89.0,0.0,7.6,16.7,1024.9
1637153460.0,0.0,21.2,2.0,20.0,12.2,82.0,0.0,7.6,17.0,1024.8
1637154000.0,0.0,21.2,2.0,20.0,13.2,78.0,0.0,7.6,18.5,1024.7
1637163060.0,0.0,21.6,2.0,20.0,13.3,76.0,0.0,5.4,17.0,1024.9
1637168400.0,0.0,21.6,2.0,20.0,12.4,78.0,0.0,5.4,14.8,1026.0
1637182800.0,0.0,21.6,2.0,20.0,9.8,81.0,0.0,7.6,15.0,1029.2
1637197200.0,0.0,21.6,2.0,20.0,7.9,91.0,0.0,5.4,11.1,1029.9
1637211600.0,0.0,21.4,2.0,20.0,6.3,95.0,0.0,3.6,11.1,1031.3
1637216160.0,0.0,21.4,2.0,21.0,6.2,95.0,0.0,5.4,5.0,1031.5
1637226000.0,0.0,21.2,2.0,21.0,6.7,92.0,0.0,5.4,9.0,1032.4
1637240400.0,0.0,21.2,2.0,21.0,12.3,70.0,0.0,3.6,13.0,1032.1
1637254800.0,0.0,21.4,2.0,21.0,8.2,90.0,0.0,7.6,7.4,1032.5
1637269200.0,0.0,21.2,2.0,21.0,6.8,97.0,0.0,7.6,17.0,1033.6
1637283600.0,0.0,21.4,2.0,21.0,6.7,96.0,0.0,5.4,7.4,1033.5
1637298000.0,0.0,21.6,2.0,21.0,6.4,94.0,0.0,7.6,5.5,1033.1
1637312400.0,0.0,21.6,2.0,21.0,7.8,89.0,0.0,3.6,9.0,1033.7
1637326800.0,0.0,21.2,2.0,21.0,11.3,74.0,0.0,3.6,7.4,1032.6
1637341200.0,0.0,21.4,2.0,21.0,10.5,80.0,0.0,5.4,11.1,1031.7
1637355600.0,0.0,21.4,2.0,21.0,9.4,86.0,0.0,7.6,22.0,1031.8
1637370000.0,0.0,21.5,2.0,21.0,8.9,91.0,0.0,7.6,7.4,1030.3
1637384400.0,0.0,21.6,2.0,21.0,7.7,92.0,0.0,11.2,9.3,1028.2
1637398800.0,0.0,21.6,2.0,21.0,7.5,94.0,0.0,5.4,15.0,1027.3
1637413200.0,0.0,21.4,2.0,21.0,7.5,93.0,0.0,5.4,13.0,1024.4
1637427600.0,0.0,21.2,2.0,21.0,6.5,93.0,0.0,3.6,7.4,1021.8
1637442000.0,0.0,21.4,2.0,21.0,6.4,92.0,0.0,5.4,17.0,1020.3
1637442120.0,0.0,21.4,2.0,26.0,6.4,92.0,0.0,5.4,17.0,1020.3
1637456400.0,0.0,22.5,2.0,25.0,6.7,90.0,0.0,3.6,11.1,1017.9
1637470800.0,0.0,22.1,2.0,25.0,6.4,93.0,0.1,5.4,14.8,1016.0
1637485200.0,0.0,21.6,2.0,25.0,6.9,95.0,0.0,5.4,11.0,1015.1
1637499600.0,0.0,20.1,2.0,25.0,8.5,95.0,0.8,7.6,13.0,1013.6
1634551980.0,0.0,19.1,2.0,29.0,12.9,76.0,0.0,9.4,20.4,1022.0
1634565600.0,0.0,19.3,2.0,29.0,18.6,67.0,0.0,14.800000000000002,24.100000000000005,1020.7000000000002
1634580000.0,0.0,20.2,2.0,29.0,16.6,82.0,0.0,5.400000000000001,18.0,1021.2999999999998
1634594400.0,0.0,20.4,2.0,29.0,15.6,93.0,0.20000000000000004,11.199999999999998,24.100000000000005,1021.0
1634608800.0,0.0,20.9,2.0,29.0,15.5,93.0,0.0,5.400000000000001,24.100000000000005,1020.6
1634623200.0,0.0,21.2,2.0,29.0,15.5,89.0,0.0,9.4,21.0,1020.6
1634637600.0,0.0,21.2,2.0,29.0,18.4,74.0,0.4000000000000001,14.800000000000002,25.899999999999995,1021.2999999999998
1634652000.0,0.0,21.7,2.0,29.0,23.0,50.0,0.0,14.800000000000002,27.8,1018.4
1634666400.0,0.0,22.2,2.0,29.0,18.7,65.0,0.0,9.4,21.0,1017.5
1634680800.0,0.0,22.0,2.0,29.0,16.2,72.0,0.0,11.199999999999998,20.4,1016.2999999999998
1634695200.0,0.0,22.0,2.0,29.0,15.199999999999998,82.0,0.0,11.199999999999998,25.899999999999995,1013.6
1634709600.0,0.0,21.9,2.0,29.0,15.699999999999998,80.0,0.0,16.6,26.0,1011.2000000000002
1634724000.0,0.0,21.9,2.0,29.0,16.8,86.0,0.0,18.4,40.8,1010.7999999999998
1634738400.0,0.0,22.9,2.0,29.0,19.6,72.0,0.0,16.6,44.5,1007.2000000000002
1634752800.0,0.0,22.5,2.0,29.0,18.4,75.0,0.0,22.3,52.0,1002.6
1634767200.0,0.0,22.6,2.0,29.0,14.0,77.0,0.6,24.100000000000005,53.70000000000001,998.5
1634781600.0,0.0,22.2,2.0,29.0,13.5,65.0,0.0,42.5,66.7,999.4
1634796000.0,0.0,21.5,2.0,29.0,11.300000000000002,71.0,0.0,13.0,44.0,1009.6
1634810400.0,0.0,21.3,2.0,29.0,14.1,65.0,0.0,18.4,40.8,1011.7999999999998
1634824800.0,0.0,20.8,2.0,29.0,11.9,92.0,9.0,16.6,29.600000000000005,1011.5
1634831820.0,0.0,20.6,2.0,29.0,13.1,88.0,0.10000000000000002,14.800000000000002,39.0,1012.5
1634833260.0,0.0,20.6,2.0,29.0,11.300000000000002,75.0,0.0,20.5,22.2,1013.9
1634834160.0,0.0,20.6,2.0,29.0,11.3,75.0,0.0,20.5,22.2,1013.9
1634836560.0,0.0,20.6,2.0,29.0,10.3,70.0,0.0,20.5,18.5,1015.3
1634839200.0,0.0,20.6,2.0,29.0,9.6,73.0,0.0,13.0,28.0,1016.6
1634853600.0,0.0,19.9,2.0,29.0,7.5,82.0,0.0,5.4,9.3,1019.8
1634868000.0,0.0,19.5,2.0,29.0,5.8,92.0,0.0,5.4,7.4,1021.3
1634882400.0,0.0,19.0,2.0,29.0,4.7,95.0,0.0,3.6,11.0,1021.9
1634896800.0,0.0,18.7,2.0,29.0,10.9,72.0,0.0,13.0,14.8,1023.9
1634911200.0,0.0,21.4,2.0,29.0,13.0,63.0,0.0,9.4,24.1,1024.0
1634925600.0,0.0,19.7,2.0,29.0,10.4,83.0,0.0,7.6,17.0,1025.5
1634940000.0,0.0,19.5,2.0,29.0,9.8,82.0,0.0,3.6,20.4,1027.0
1634954400.0,0.0,19.9,2.0,29.0,10.0,78.0,0.0,5.4,16.7,1027.1
1634968800.0,0.0,20.7,2.0,29.0,9.7,80.0,0.0,5.4,9.0,1027.1
1634983200.0,0.0,21.0,2.0,29.0,12.5,72.0,0.0,3.6,9.3,1028.3
1634997600.0,0.0,23.7,2.0,29.0,13.9,60.0,0.0,7.6,16.7,1027.1
1635012000.0,0.0,25.1,2.0,29.0,10.5,68.0,0.0,7.6,15.0,1027.0
1635026400.0,0.0,25.0,2.0,29.0,8.0,78.0,0.0,5.4,9.3,1026.2
1635040800.0,0.0,25.0,2.0,29.0,6.2,86.0,0.0,7.6,9.3,1024.5
1635055200.0,0.0,24.4,2.0,29.0,4.0,92.0,0.0,9.4,4.0,1023.6
1635069600.0,0.0,24.1,2.0,29.0,9.0,75.0,0.0,11.2,13.0,1022.8
1635084000.0,0.0,23.5,2.0,29.0,13.5,62.0,0.0,7.6,18.5,1021.5
1635098400.0,0.0,24.4,2.0,29.0,10.3,78.0,0.0,5.4,11.0,1021.3
1635112800.0,0.0,24.3,2.0,29.0,8.0,88.0,0.0,9.4,18.5,1021.0
1635116940.0,0.0,24.3,2.0,20.0,7.8,88.0,0.0,9.4,16.7,1020.9
1635127200.0,0.0,24.4,2.0,20.0,7.5,86.0,0.0,7.6,16.7,1020.4
1635141600.0,0.0,24.4,2.0,20.0,8.4,93.0,0.4,9.4,9.0,1019.5
1635156000.0,0.0,24.1,2.0,20.0,10.7,95.0,0.0,9.4,14.8,1020.0
1635170400.0,0.0,22.9,2.0,20.0,13.9,83.0,0.0,9.4,20.4,1019.4
1635184800.0,0.0,21.9,2.0,20.0,12.6,91.0,0.0,7.6,18.0,1019.9
1635199200.0,0.0,22.1,2.0,20.0,11.7,94.0,0.0,7.6,11.1,1020.9
1635213600.0,0.0,21.6,2.0,20.0,9.9,95.0,0.0,7.6,9.3,1022.0
1635228000.0,0.0,21.8,2.0,20.0,8.1,97.0,0.0,7.6,17.0,1023.3
1635242400.0,0.0,21.1,2.0,20.0,11.6,89.0,0.0,11.2,20.4,1024.6
1635256800.0,0.0,20.6,2.0,20.0,15.3,76.0,0.0,11.2,24.1,1024.1
1635271200.0,0.0,20.8,2.0,20.0,13.9,82.0,0.0,9.4,22.0,1025.3
1635285600.0,0.0,20.8,2.0,20.0,12.1,87.0,0.0,9.4,16.7,1025.8
1635300000.0,0.0,20.4,2.0,20.0,9.9,94.0,0.0,5.4,11.1,1025.6
1635314400.0,0.0,19.7,2.0,20.0,8.6,96.0,0.0,7.6,13.0,1025.3
1635328800.0,0.0,18.6,2.0,20.0,10.3,90.0,0.0,9.4,14.8,1025.8
1635343200.0,0.0,18.9,2.0,20.0,15.8,68.0,0.0,11.2,18.5,1023.2
1635357600.0,0.0,19.6,2.0,20.0,13.0,80.0,0.0,5.4,8.0,1022.2
1635372000.0,0.0,19.6,2.0,20.0,10.2,91.0,0.0,7.6,16.7,1021.3
1635386400.0,0.0,20.200000000000003,2.0,20.0,8.7,95.0,0.0,9.4,14.8,1018.9
1635400800.0,0.0,19.8,2.0,20.0,7.0,96.0,0.0,9.4,15.0,1017.7
1635415200.0,0.0,17.8,2.0,20.0,10.4,85.0,0.0,13.0,20.4,1016.7
1635429600.0,0.0,19.2,2.0,20.0,18.1,55.0,0.0,18.4,25.9,1012.7
1635444000.0,0.0,19.8,2.0,20.0,13.9,68.0,0.0,9.4,18.0,1011.2
1635458400.0,0.0,19.6,2.0,20.0,11.1,83.0,0.0,7.6,18.5,1010.3
1635472800.0,0.0,19.8,2.0,20.0,9.7,88.0,0.0,9.4,20.4,1008.3
1635487200.0,0.0,19.4,2.0,20.0,10.5,84.0,0.0,13.0,24.0,1005.9
1635501600.0,0.0,19.4,2.0,20.0,14.7,72.0,0.0,18.4,27.8,1006.0
1635516000.0,0.0,19.6,2.0,20.0,14.4,85.0,1.7,13.0,29.6,1005.7
1635530400.0,0.0,20.0,2.0,20.0,12.5,94.0,0.0,14.8,24.0,1006.3
1635531660.0,0.0,20.0,2.0,19.0,12.5,94.0,0.0,14.8,24.0,1006.3
1635544800.0,0.0,19.8,2.0,19.0,12.4,96.0,0.2,7.6,20.4,1005.4
1635559200.0,0.0,20.1,2.0,19.0,12.7,96.0,0.2,13.0,20.4,1001.9
1635573600.0,0.0,20.1,2.0,19.0,12.8,96.0,1.4,11.2,28.0,999.4
1635588000.0,0.0,20.2,2.0,19.0,13.7,95.0,0.6,11.2,77.8,999.9
1635599880.0,1.0,20.7,2.0,22.5,14.8,94.0,0.1,13.0,72.2,1000.1
1635600660.0,1.0,21.1,2.0,19.0,14.8,94.0,0.1,13.0,72.2,1000.1
1635602160.0,1.0,21.1,2.0,22.0,14.8,94.0,0.1,13.0,72.2,1000.1
1635602400.0,1.0,22.6,2.0,22.0,13.3,90.0,3.0,13.0,63.0,1001.1
1635609660.0,1.0,22.6,2.0,21.0,13.1,92.0,0.0,7.6,55.5,1003.0
1635610620.0,1.0,22.6,2.0,22.0,13.1,92.0,0.0,7.6,55.5,1003.0
1635624360.0,1.0,22.6,2.0,21.0,11.6,92.0,0.0,9.4,33.3,1006.8
1635625860.0,1.0,22.6,2.0,22.0,11.6,92.0,0.0,9.4,33.3,1006.8
1635631200.0,1.0,24.0,2.0,22.0,10.8,95.0,0.0,7.6,33.3,1007.8
1635645600.0,1.0,24.2,2.0,22.0,9.8,96.0,0.0,7.6,27.8,1006.9
1635656400.0,1.0,24.5,2.0,22.0,10.3,98.0,0.0,9.4,31.5,1005.0
1635670800.0,1.0,24.5,2.0,22.0,11.9,95.0,0.0,13.0,26.0,1001.7
1635676080.0,1.0,24.5,2.0,23.0,13.3,88.0,0.0,14.8,29.6,1000.4
1635678060.0,1.0,24.5,2.0,22.0,16.3,81.0,0.0,20.5,29.6,999.3
1635681660.0,1.0,24.5,2.0,23.0,17.1,78.0,0.0,18.4,44.0,998.2
1635685200.0,1.0,25.2,2.0,23.0,17.5,79.0,0.8,16.6,35.2,997.3
1635690660.0,1.0,25.2,2.0,22.0,16.8,88.0,1.0,20.5,35.2,997.1
1635692460.0,1.0,25.2,2.0,23.0,16.2,92.0,0.3,20.5,59.0,998.0
1635696060.0,1.0,25.2,2.0,22.0,14.1,83.0,0.2,13.0,44.5,999.0
1635699600.0,1.0,24.9,2.0,22.0,12.9,85.0,0.0,9.4,40.8,1000.0
1635714000.0,1.0,24.7,2.0,22.0,10.3,90.0,0.0,13.0,18.0,1001.9
1635728400.0,1.0,24.5,2.0,22.0,9.4,90.0,0.0,11.2,46.3,1001.8
1635742800.0,1.0,24.5,2.0,22.0,9.2,86.0,0.0,11.2,37.0,1001.8
1635757200.0,1.0,24.4,2.0,22.0,10.3,84.0,0.0,13.0,33.0,1002.9
1635771600.0,1.0,24.7,2.0,22.0,14.4,63.0,0.0,16.6,40.8,1001.5
1635786000.0,1.0,24.7,2.0,22.0,8.7,93.0,0.0,5.4,20.4,1001.9
1635800400.0,1.0,24.5,2.0,22.0,7.5,96.0,0.0,9.4,15.0,1002.0
1635814800.0,1.0,24.7,2.0,22.0,8.2,96.0,0.0,11.2,14.8,1000.6
1635829200.0,1.0,24.5,2.0,22.0,8.5,94.0,0.0,9.4,14.8,1000.4
1635843600.0,1.0,24.4,2.0,22.0,9.1,82.0,0.0,16.6,30.0,1002.1
1635858000.0,1.0,24.4,2.0,22.0,12.3,65.0,0.0,13.0,29.6,1001.5
1635872400.0,1.0,24.8,2.0,22.0,10.0,79.0,0.0,9.4,11.1,1000.5
1635874260.0,1.0,24.8,2.0,23.0,10.0,79.0,0.0,9.4,11.1,1000.5
1635876060.0,1.0,24.8,2.0,22.0,9.2,83.0,0.0,5.4,11.0,1000.7
1635886800.0,1.0,24.6,2.0,22.0,9.2,85.0,0.0,7.6,15.0,999.2
1635901200.0,1.0,24.8,2.0,22.0,8.5,94.0,0.6,5.4,14.8,997.9
1635915600.0,1.0,24.4,2.0,22.0,7.8,95.0,0.6,13.0,22.2,998.9
1635930000.0,1.0,24.8,2.0,22.0,7.9,90.0,0.0,11.2,28.0,1001.4
1635944400.0,0.0,24.0,2.0,22.0,11.7,64.0,0.0,9.4,25.9,1002.4
1635958800.0,0.0,24.0,2.0,22.0,9.8,68.0,0.0,11.2,20.4,1004.0
1635973200.0,0.0,23.5,2.0,22.0,8.4,77.0,0.0,7.6,15.0,1006.3
1635978600.0,1.0,23.5,2.0,24.0,7.8,80.0,0.0,9.4,13.0,1006.8
1635980100.0,1.0,23.5,2.0,32.0,7.8,80.0,0.0,9.4,13.0,1006.8
1635987360.0,1.0,23.5,2.0,22.0,7.2,83.0,0.0,9.4,17.0,1007.0
1635987600.0,1.0,26.5,2.0,22.0,6.5,87.0,0.0,9.4,9.3,1007.1
1635987660.0,1.0,26.5,2.0,24.0,6.5,87.0,0.0,9.4,9.3,1007.1
1635989460.0,1.0,26.5,2.0,23.0,6.5,87.0,0.0,9.4,9.3,1007.1
1635998460.0,1.0,26.5,2.0,22.0,6.1,88.0,0.0,7.6,13.0,1007.7
1636002000.0,1.0,24.8,2.0,22.0,6.7,91.0,0.6,7.6,11.1,1008.1
1636007220.0,1.0,24.6,2.0,22.0,6.7,94.0,0.0,7.6,18.0,1008.3
1636015560.0,1.0,25.1,2.0,22.0,7.9,92.0,0.0,9.4,13.0,1009.7
1636016400.0,1.0,25.0,2.0,22.0,8.5,88.0,0.0,11.2,21.0,1010.4
1636016460.0,1.0,25.0,2.0,23.0,8.5,88.0,0.0,11.2,21.0,1010.4
1636018260.0,1.0,25.0,2.0,22.0,8.5,88.0,0.0,11.2,21.0,1010.4
1636030800.0,1.0,24.1,2.0,22.0,10.4,72.0,0.0,14.8,24.1,1012.0
1636045200.0,1.0,24.4,2.0,22.0,8.7,90.0,2.0,11.2,24.1,1014.7
1636047060.0,1.0,24.4,2.0,21.0,8.7,90.0,2.0,11.2,24.1,1014.7
1636056060.0,1.0,24.4,2.0,20.0,8.7,88.0,0.0,13.0,20.4,1016.9
1636059600.0,1.0,22.8,2.0,20.0,8.7,87.0,0.0,13.0,22.0,1017.6
1636074000.0,1.0,22.5,2.0,20.0,8.6,85.0,0.0,14.8,18.5,1019.9
1636088400.0,1.0,22.5,2.0,20.0,8.0,84.0,0.0,11.2,20.4,1022.4
1636102800.0,1.0,21.0,2.0,20.0,8.8,79.0,0.0,13.0,22.0,1025.8
1636102860.0,1.0,21.0,2.0,19.0,8.8,79.0,0.0,13.0,22.0,1025.8
1636117200.0,1.0,22.3,2.0,19.0,11.3,68.0,0.0,7.6,22.2,1027.1
1636117260.0,1.0,22.3,2.0,20.0,11.3,68.0,0.0,7.6,22.2,1027.1
1636117560.0,1.0,22.3,2.0,20.0,11.3,68.0,0.0,7.6,22.2,1027.1
1636131600.0,1.0,22.9,2.0,20.0,10.7,66.0,0.0,5.4,14.8,1029.0
1636137060.0,1.0,22.9,2.0,21.0,10.6,66.0,0.0,7.6,15.0,1029.6
1636140660.0,1.0,22.9,2.0,20.0,10.3,67.0,0.0,5.4,11.1,1030.1
1636146000.0,1.0,22.9,2.0,20.0,8.8,75.0,0.0,5.4,9.0,1031.0
1636160400.0,1.0,22.75,2.0,20.0,6.8,85.0,0.0,5.4,11.1,1031.8
1636169460.0,1.0,22.75,2.0,21.0,5.2,92.0,0.0,5.4,8.0,1031.6
1636174800.0,1.0,23.7,2.0,21.0,3.8,94.0,0.0,3.6,7.4,1032.0
1636182060.0,1.0,23.7,2.0,20.0,3.3,95.0,0.0,3.6,9.3,1032.6
1636185660.0,1.0,23.7,2.0,19.0,4.1,95.0,0.0,3.6,7.4,1032.5
1636187460.0,1.0,23.7,2.0,20.0,4.1,95.0,0.0,3.6,7.4,1032.5
1636189200.0,1.0,19.8,2.0,20.0,5.8,92.0,0.0,3.6,8.0,1032.5
1636189260.0,1.0,19.8,2.0,19.0,5.8,92.0,0.0,3.6,8.0,1032.5
1636203600.0,1.0,21.5,2.0,19.0,11.4,56.0,0.0,5.4,16.7,1030.7
1636218000.0,1.0,21.5,2.0,19.0,9.5,68.0,0.0,7.6,16.7,1028.7
1636232400.0,1.0,21.3,2.0,19.0,7.1,86.0,0.0,7.6,18.0,1027.8
1636246800.0,1.0,21.3,2.0,19.0,8.1,83.0,0.0,13.0,20.4,1026.1
1636261200.0,1.0,21.1,2.0,19.0,8.5,92.0,0.0,7.6,22.2,1023.8
1636275600.0,1.0,21.1,2.0,19.0,9.8,93.0,0.0,7.6,31.0,1022.8
1636290000.0,1.0,21.3,2.0,19.0,12.9,68.0,0.0,11.2,27.8,1022.3
